accuracy,macro_p,macro_r,macro_f1,weighted_f1,f1_c0,f1_c1,f1_c2,recall_c2,model,run
0.9655172413793104,0.9757575757575757,0.8581196581196582,0.9001770211940444,0.9629279823932061,0.9885057471264368,0.9620253164556962,0.75,0.6,GCN (reverse-edge),28
0.9655172413793104,0.9757575757575757,0.8581196581196582,0.9001770211940444,0.9629279823932061,0.9885057471264368,0.9620253164556962,0.75,0.6,GCN (reverse-edge),29
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,GCN (undirected),0
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,GCN (undirected),1
0.9655172413793104,0.9170343868018286,0.9170343868018286,0.9170343868018286,0.9655172413793104,0.9767441860465116,0.9743589743589743,0.8,0.8,GCN (undirected),2
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,GCN (undirected),3
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,GCN (undirected),4
0.9655172413793104,0.9170343868018286,0.9170343868018286,0.9170343868018286,0.9655172413793104,0.9767441860465116,0.9743589743589743,0.8,0.8,GCN (undirected),5
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,GCN (undirected),6
0.9655172413793104,0.9170343868018286,0.9170343868018286,0.9170343868018286,0.9655172413793104,0.9767441860465116,0.9743589743589743,0.8,0.8,GCN (undirected),7
0.9770114942528736,0.9250000000000002,0.9255813953488371,0.9251923554231819,0.9770166294365848,0.9882352941176471,0.9873417721518988,0.8,0.8,GCN (undirected),8
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,GCN (undirected),9
0.9770114942528736,0.9250000000000002,0.9255813953488371,0.9251923554231819,0.9770166294365848,0.9882352941176471,0.9873417721518988,0.8,0.8,GCN (undirected),10
0.9655172413793104,0.9170343868018286,0.9170343868018286,0.9170343868018286,0.9655172413793104,0.9767441860465116,0.9743589743589743,0.8,0.8,GCN (undirected),11
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,GCN (undirected),12
0.9655172413793104,0.9170343868018286,0.9170343868018286,0.9170343868018286,0.9655172413793104,0.9767441860465116,0.9743589743589743,0.8,0.8,GCN (undirected),13
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,GCN (undirected),14
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,GCN (undirected),15
0.9770114942528736,0.9250000000000002,0.9255813953488371,0.9251923554231819,0.9770166294365848,0.9882352941176471,0.9873417721518988,0.8,0.8,GCN (undirected),16
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,GCN (undirected),17
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,GCN (undirected),18
0.9770114942528736,0.9250000000000002,0.9255813953488371,0.9251923554231819,0.9770166294365848,0.9882352941176471,0.9873417721518988,0.8,0.8,GCN (undirected),19
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,GCN (undirected),20
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,GCN (undirected),21
0.9655172413793104,0.9170343868018286,0.9170343868018286,0.9170343868018286,0.9655172413793104,0.9767441860465116,0.9743589743589743,0.8,0.8,GCN (undirected),22
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,GCN (undirected),23
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,GCN (undirected),24
0.9655172413793104,0.9170343868018286,0.9170343868018286,0.9170343868018286,0.9655172413793104,0.9767441860465116,0.9743589743589743,0.8,0.8,GCN (undirected),25
0.9655172413793104,0.9170343868018286,0.9170343868018286,0.9170343868018286,0.9655172413793104,0.9767441860465116,0.9743589743589743,0.8,0.8,GCN (undirected),26
0.9770114942528736,0.9838772338772338,0.9247863247863247,0.9505845367914333,0.9764389835733474,0.9885057471264368,0.9743589743589743,0.8888888888888888,0.8,GCN (undirected),27
